mode,repeat,iterations,elements,cycles,wall_seconds,user_seconds,system_seconds,max_rss_kib,hbf_requests,run_rc,numerical_valid,total_cycles,last_kernel_cycles,log_sha256
disabled,1,32,4096,5680,7.482390,7.437093,0.063597,58832,0,0,1,181707,5680,a364c30c86f54c41f76fac186fdbae5ebfd3cf26f2b19bfe0da49d34390d3e1a
enabled,1,32,4096,5680,6.563577,6.523974,0.072684,59156,0,0,1,181707,5680,f4b00f690231844eb223d78eb74bcfae51f4d6b40f375172d8629e79c48b01b7
enabled,2,32,4096,5680,7.665034,7.638542,0.060185,59068,0,0,1,181707,5680,f83aa428e046f7c562e5e7b235a21c8333c0c8716e65cbf20ebe5ad6401ec2de
disabled,2,32,4096,5680,7.566990,7.513435,0.087339,58624,0,0,1,181707,5680,8d9aadd0167860974a631a0eedfbbb6c01747f33b85181de000d696ebc0f0a1e
disabled,3,32,4096,5680,6.762201,6.724779,0.067204,58856,0,0,1,181707,5680,ac1a223ce13f778a06b809580ced2c6621eb192bcba4e33c9bc8297424e6131f
enabled,3,32,4096,5680,6.573127,6.522500,0.086173,59016,0,0,1,181707,5680,f582694c3b9c3d054ba1d306689bc7a5f459140516f4317bda7a202ddeaada14
enabled,4,32,4096,5680,6.964115,6.939517,0.058293,59004,0,0,1,181707,5680,381bc9b73a35d3123856893d97913694a8096600b94a9a661cd82196343b6b10
disabled,4,32,4096,5680,6.768440,6.735446,0.063303,58856,0,0,1,181707,5680,f094906cd24191e1f7cbe663f28925abdbb36bd0a2b425b9a4fc8462b41ea491
disabled,5,32,4096,5680,6.665880,6.636704,0.063218,58764,0,0,1,181707,5680,313723fcb7f6b70dbc7126c35418d6df90326610ff980030c213520e91bb888a
enabled,5,32,4096,5680,7.465781,7.431191,0.068585,59012,0,0,1,181707,5680,c2a9f7e4f0de737e59adaad67f59a99dde18b182eeba36c7ef215bbc241260fc
