entries,depth,tr_us,baseline_cycles,full_cycles,replay_cycles,full_gain_pct,replay_gain_pct,gain_gap_pp
1,32,1.0,2372,2279,2292,3.9207419898819595,3.3726812816188834,0.5480607082630762
1,128,1.0,2372,2279,2279,3.9207419898819595,3.9207419898819595,0.0
1,4096,1.0,2372,2279,2279,3.9207419898819595,3.9207419898819595,0.0
32,32,1.0,14015,2405,13870,82.83981448448091,1.0346057795219354,81.80520870495897
32,128,1.0,8543,2405,7905,71.84829685122322,7.468102540091303,64.38019431113192
32,4096,1.0,6210,2405,2405,61.27214170692432,61.27214170692432,0.0
1,32,15.0,34068,33975,33988,0.2729834448749524,0.2348244687096379,0.038158976165314495
1,128,15.0,34068,33975,33975,0.2729834448749524,0.2729834448749524,0.0
1,4096,15.0,34068,33975,33975,0.2729834448749524,0.2729834448749524,0.0
32,32,15.0,140799,34101,140654,75.78036775829374,0.10298368596367569,75.67738407233006
32,128,15.0,87703,34101,86987,61.11763565670502,0.8163916855751796,60.30124397112984
32,4096,15.0,37906,34101,34101,10.037988708911517,10.037988708911517,0.0
