array_read_amplification,array_reads,buffer_hits,channel_requests,config_sha256,cycles,depth,diagnostic_sha256,entries,ingress_span,mshr,mshr_hits,name,page_service_amplification,page_services,pages,placement,programs,raw_log_sha256,read_controller_mean,read_controller_p50,read_controller_p95,read_controller_p99,read_count,read_program_request_ticks,read_queue_request_ticks,read_total_mean,read_total_p50,read_total_p95,read_total_p99,read_upstream_mean,read_upstream_p50,read_upstream_p95,read_upstream_p99,requested_read_bytes,run_rc,simulator_sha256,source_bundle,stride,suite,tr,trace_sha256,trace_valid,workload_sha256,write_bytes,write_controller_mean,write_controller_p50,write_controller_p95,write_controller_p99,write_count,write_total_mean,write_total_p50,write_total_p95,write_total_p99,write_upstream_mean,write_upstream_p50,write_upstream_p95,write_upstream_p99
32.0,64,0,"[64, 64, 64, 64]",2952c1c71090bf0b4e80a818c9413c335fc904b9a6fdfa8ff89d61e228d9f56d,141500,4096,057d058755d64a80d8036dc8aaac1f095de06eda4a1818504c5c34496d30b2ce,1,47,1,192,hotspot_p64_e1_s1_interleave,32.0,64,64,interleave,0,06cdad63ed4ea1b0fdadffa0a296d41af6ef3c3f9c6fcff5444196423c439d40,76391.1875,67911,135806,135809,256,0,11420392,76573.6875,68086,136000,136001,182.5,183,197,201,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,1,read,12750,a6e8cc95b6cccddc1768372132a8736a6b4e48b2c3dc80a66d669f813bd4b89a,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[64, 64, 64, 64]",2e18d92907e4d601d7b8cc2fe234fd462a301b35c3860389fbe997b65df757a1,141530,4096,55899714643286f36cec87431d478400de005bfc27aa7c87a7df5c50b028660f,1,47,1,192,hotspot_p64_e1_s1_modulo,32.0,64,64,modulo,0,55712b0d4048d30ff3d0896a5e0e5f21c4a56d2ebea4dd468300df982b829ec1,76406.75,67922,135837,135840,256,0,11423432,76589.25,68113,136024,136033,182.5,183,197,201,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,1,read,12750,17c578987160f73780fb2c78478b20c78e27912eb1a9a026fcc45c325edec1a3,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[64, 64, 64, 64]",41abfdc04e0fbb84ac940d99e2ec9675bcdb6fc407ddca6e3b10096c5176e064,141530,4096,55899714643286f36cec87431d478400de005bfc27aa7c87a7df5c50b028660f,1,47,1,192,hotspot_p64_e1_s1_stripe,32.0,64,64,stripe,0,fd8ec0c84e36fc45fd8c6830e44a6c4c7b115a1dc3a2931b45b0f236ab32dd0e,76406.75,67922,135837,135840,256,0,11423432,76589.25,68113,136024,136033,182.5,183,197,201,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,1,read,12750,17c578987160f73780fb2c78478b20c78e27912eb1a9a026fcc45c325edec1a3,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[256, 0, 0, 0]",2b57f20935c91abcefdaecb13e2f83fd7f108e03c6acbd62cac65f99b13f2152,141530,4096,8108a32dcbca5f7eec9449e8b55f05f5cf632a9a5c2a2001759d1c1813eeca68,1,43,1,192,hotspot_p64_e1_s4_interleave,32.0,64,64,interleave,0,7182a13298aabe65d3dced10f86f62cf8009082debeb8ece08b81283f6b911cd,76407.625,67922,135838,135842,256,0,11423602,76588.875,68113,136023,136033,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,4,read,12750,ff42c882987a2672d1ac1c83c1f57b69ed51bbb39c78d92938549b20acc8d37e,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[256, 0, 0, 0]",72913a46bdd84acef3acf7f0144dc2a2ccb6c4d5f91b5a6c4ba35d9c46e7ef0e,549017,4096,227f5ff250ba9d1b39e90255f43c5d99877bc3f6af16fc20057b95759eb8a88b,1,43,1,192,hotspot_p64_e1_s4_modulo,32.0,64,64,modulo,0,fbd532246b0fa844b74ffefecc3c32b5a95a3d493cf732fd1b6903146951000a,280151.75,271675,526342,543327,256,0,50588449,280333.0,271848,526536,543521,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,4,read,12750,9b837bb3c7bc4ba43e0e4e46cbfcd4ccdda97954f0dd3569c08e4205f9b57ffb,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[64, 64, 64, 64]",36834873008a69af6eb610cf6e1293347a33076aca7b21dae7c517a2d012d372,277353,4096,ef8b1eb2f6c018cd626417c780ba861020fdf91e72f1dd9a675d11116143918a,1,43,1,192,hotspot_p64_e1_s4_stripe,32.0,64,64,stripe,0,cd273fdde252261bb790882e3755b988aa43b153e1d86694087a8cb91f2c3142,144318.25,135842,271650,271668,256,0,24477745,144499.5,136023,271838,271856,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,4,read,12750,5cb856f48e5c1cde8129597e8b80abd4210e501d91c12a1d96ae7fca1aa1de10,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[256, 0, 0, 0]",71b03838aedd8ed73be9a30a9aff25f971e1d4264df192ee851f551a97bd018b,1092373,4096,287c97da31977d10c6c22b699122578a0ff15e7220384c6cbb77b8761e7455e2,1,43,1,192,hotspot_p64_e1_s32_interleave,32.0,64,64,interleave,0,15e3d662753970f2599a2c37faaf16fbb709deebe676947cd6d16d5f74554dce,551829.75,543346,1035742,1086679,256,0,102812056,552011.0,543519,1035936,1086876,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,32,read,12750,8fe411a767603ca7e24e843991bde9c63c759dfb2183e2fab1dbaf806ca6fb37,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[256, 0, 0, 0]",24bc5a345279875aefe01019290b3a34fd60bb8443631589e09a59325f61ec25,1092373,4096,287c97da31977d10c6c22b699122578a0ff15e7220384c6cbb77b8761e7455e2,1,43,1,192,hotspot_p64_e1_s32_modulo,32.0,64,64,modulo,0,a30cca178851f7c71637585c3eeac36ec1b140c4bda826dda3df1e21d07a9f7f,551829.75,543346,1035742,1086679,256,0,102812056,552011.0,543519,1035936,1086876,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,32,read,12750,8fe411a767603ca7e24e843991bde9c63c759dfb2183e2fab1dbaf806ca6fb37,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,64,0,"[64, 64, 64, 64]",2af77d89899ee6b8bc0956cf39152d07221ebec33715d0d9abfd7639799b7692,277353,4096,38c2d0add5c656e18a6c17f3f783457816d6dceb7683e84b3247bba48af4d423,1,43,1,192,hotspot_p64_e1_s32_stripe,32.0,64,64,stripe,0,14c621f420191f3d25360173f912d25107a12b2fcf1eb05e43dffee1e31920a4,144318.25,135842,271650,271668,256,0,24477745,144499.5,136023,271838,271856,181.25,181,196,197,8192,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,32,read,12750,b339daec8a3f99723ad402650a706a6b80509acf935a1fee7fa9a22931c7c1f9,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,64,0,"[512, 512, 512, 512]",b9d34a549dd8675208bf1976f923e8b31a9cc77d9f4c816d0dc97d7d6ae9b804,141991,4096,151be10e9fca416eede67e4138173c742c514f7b069b27485febf6e73e06b7a7,8,390,1,1984,hotspot_p64_e8_s1_interleave,4.0,64,64,interleave,0,af38367fe4e76038473b5bcebcc9b9d463db20e8d98521a1528e8719ab0f22f5,76208.41015625,67863,135513,135557,2048,0,91085280,76401.34375,68039,135740,135756,192.93359375,183,239,245,65536,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,1,read,12750,2498cd2a9315bb558f8d4b2589c4403ff9da559c242d39978efe5a87e7f36023,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,64,0,"[512, 512, 512, 512]",4b303177bc7a49ed023a27385ef560c6454e2bd628e76ebb8654193e9ff3d939,141991,4096,663b6b319211296c9f9c5137c7458c90c21342879d8c6eceeea691809b489c57,8,390,1,1984,hotspot_p64_e8_s1_modulo,4.0,64,64,modulo,0,64301ad17ebfcb44d32c3c6aadd36a8f6f8947c5d3d29f2c3f5f26b2bfb851ba,76208.41015625,67863,135513,135557,2048,0,91085280,76401.34375,68039,135740,135756,192.93359375,183,239,245,65536,0,f4d6cc8831f2f2efecc4f5bf1d2832ae80749e4fe39ce38d812fe23fbaaa6083,experiments/20_placement_hotspots/results/20260910,1,read,12750,1f085707ac00987687af2d323432d08c17e6712810c0bfb3de892dd26452e8cb,1,a8d0491982ce9dd82549cf6574da69466f59f4220201993e9d95f807f4504f9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
