admitted_last_page_sectors,array_reads,assembly_deadline,buffer_hits,config_sha256,cycles,diagnostic_sha256,expected_last_page_sectors,gap,ingress_span,mshr_hits,name,outcome,page_services,permutation,programs,raw_log_sha256,read_channels,read_controller_mean,read_controller_p50,read_controller_p95,read_controller_p99,read_count,read_delay,read_program_request_ticks,read_queue_request_ticks,read_total_mean,read_total_p50,read_total_p95,read_total_p99,read_upstream_mean,read_upstream_p50,read_upstream_p95,read_upstream_p99,run_rc,scheduler,simulator_sha256,source_bundle,suite,tr,trace_sha256,trace_valid,workload_sha256,write_bytes,write_controller_mean,write_controller_p50,write_controller_p95,write_controller_p99,write_count,write_pages,write_total_mean,write_total_p50,write_total_p95,write_total_p99,write_upstream_mean,write_upstream_p50,write_upstream_p95,write_upstream_p99
,128,,0,616d1673f21936c792c7c3243d7f4c7ca274520a1af21fa84a2539de46f44142,549442,bab357b84ca327e8fcc0f41de483a2985a2b0a2fd020bf86f17cb68a3639d970,,0,475702,384,phase_alone_d0,complete,128,0,0,cc5f9356e1c37a5aec69aa9a604f2dd6fffe6633db10d1c187df0df9a0519447,0,71965.478515625,67675,118744,135740,512,0,0,21139349,72144.8125,67841,118999,135988,179.333984375,169,242,257,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,9d2ffa9a199f60b5e3b44e9a1b8798c56cc7a91a8ff90048dc4df993e78c4b6e,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,,0,5b821555b8575bed60a2c013e0ca7c8e2bc291d4ed0a8d83153ca2dfe00be882,662667,f7831219de7f6694f240e03289d4770d386811b9d7d2e2f9fcd65e02804c5a01,,0,475733,384,phase_alone_d113200,complete,128,0,0,fb400fe337d54a8dd3d48ad073f7ae130276e768c151ed1e472eb1184004588f,0,72632.76953125,67676,118780,135757,512,113200,0,21396031,72811.0,67842,119017,135995,178.23046875,169,238,253,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,9a7ead0ab34c66466eb266c4b197626360f9cbb395392d0d3b0cebfc62ec57c4,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,,0,5ada7fd4b03938d54e15ec18206c5f4b81e06b136d6fa1adfdb76a785f9bbbf4,719241,6082604f08c4ccdbd81fd03b32686a66cb68d6572063d89341ec8ef5b2253e3e,,0,475711,384,phase_alone_d169800,complete,128,0,0,3323a1eb32027d802af10da8b3b606517e193ac07828f3b67c487f75c296720f,0,72763.478515625,67675,118754,135750,512,169800,0,21445991,72941.484375,67842,119001,135993,178.005859375,168,238,253,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-crossover,phase,12750,3a76b192a522782376743f5192bb2623feb491c3e0f42b3fb762f32857031eaf,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,,0,9d1f5c1427c01d6c80d50e28261bb7da0d5423b9d4a0a5de355d5c73f4759fbb,832450,9928d01f1819d2f0e8eefa643c44dba7fb343e5b0c6abcf764ddfc0366cd215c,,0,475721,384,phase_alone_d283000,complete,128,0,0,59d693c498ca7ff6ae79f609db8f6a28016b520e60c8cbcc1c92fbc5c8688909,0,72632.349609375,67675,118770,135748,512,283000,0,21395712,72810.296875,67842,119010,135991,177.947265625,169,236,251,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-crossover,phase,12750,bb5a51a20cb40762ce1591a8f4e51ecbb012cb776b371c217c87ca0eb55e69cc,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,,0,43ddb198722b0d140e902fd6dcc618b6709dd89511db24563e386c3d6980d423,606046,88d033c6b12087c55670a119a05af7c62c0a717be576bc003907fad878e9bf47,,0,475713,384,phase_alone_d56600,complete,128,0,0,230d954cef45fef0bb78ababec882dcb4cee09bbaad6a2b6122da5b605035512,0,72763.103515625,67675,118766,135746,512,56600,0,21445980,72941.4296875,67842,119002,135983,178.326171875,169,237,253,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-crossover,phase,12750,03064a35b40284d9723f32732922d591494fc65d755aa654b29d9d81c5fd8570,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,128,,0,4cdbe1788579ed43f6746ee6ff23064bdf4025e484d0b0bb001c664a1401159b,1455159,d8a8cb23e2f264c95d936e0f390b7350e802abff38a3629a83c04ce8f16b20f4,,0,1381306,384,phase_w16_d0_r0_s0,complete,128,0,16,a9e4023564bd8493a94b66ce9d05416f9d35259681114a67dc74a586554eae3f,0,186218.248046875,67675,990256,1024213,512,0,43516308,65064134,186401.5546875,67842,990422,1024382,183.306640625,169,279,375,0,0,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,c88b16a3f155b68b50ed26b900d687b93314dc27828880e6c0c5676cca6bd1b5,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,65536,683166.71875,588580,1041240,1041340,2048,16,683406.759765625,588744,1041462,1041518,240.041015625,223,356,375
,128,,0,6888244281d4b10ce406843297c638101a53f9549716d01c226122cdb1e030d2,1455238,fc3a73440d36b8007e057cce53559c16ecd86ccb96fe5baffca3bb4abc50d8bb,,0,544423,384,phase_w16_d0_r0_s1,complete,128,0,16,b272f72c011f896e8d5ea1d6a60993a4a2595723e0bf8ac2956ffc3df51eb880,0,73019.541015625,67675,118687,135672,512,0,0,21544630,73202.859375,67842,118980,135962,183.318359375,169,279,375,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,0d448e7d2f7036574016f593746b36f1addee4791f12585504f0893f8d540671,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,65536,1075115.7197265625,995977,1448760,1448860,2048,16,1075355.775390625,996175,1448982,1449038,240.0556640625,223,356,375
,128,,0,67159aa7ea154be8e694a102d1b60bc064485b83230afcc4889390fb0ccb15ec,1455159,3a69d73adb0479653a97f95262efeba1edad39b3ecf97ba21f3a5f12b7ee7438,,0,1381306,384,phase_w16_d0_r0_s2,complete,128,0,16,4f23539ea8b9a383e5df70d5475fb51a3e783619d155e4e99c7d61a271126cc9,0,271116.087890625,67676,1024287,1041272,512,0,76157128,97703304,271299.390625,67842,1024580,1041562,183.302734375,169,279,375,0,2,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,55c6956cec448c46ba5b7db507906a0201e72f0e717b97b7c0c977a3ce7a2990,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,65536,573857.96875,486700,939336,939460,2048,16,574098.009765625,486864,939574,939638,240.041015625,223,356,375
,128,,0,c3c442b380320e89807e00f87081548eedc7d93e5a5a291e9a1ec60c2fbb1378,2179623,466ad09c09fd4fdb5de5d479eca7b4706ee272c3460bd8ddefce0903967aa454,,0,1902009,384,phase_w16_d0_r1_s1,complete,128,0,16,b3494f415d536d98147d807ec15669a4de21c3b67c09b6800df06a1cd1458ebe,1,288023.33984375,271436,458460,526055,512,0,0,104203384,288900.0625,271602,475362,526430,876.72265625,169,287,386,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,2175a212d05f68afb7c8fd40fd91d41c731cc0e96de5ded7f8b75c7a8bb5ad18,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,65536,707570.28515625,679425,1132223,1132308,2048,16,707810.46484375,679613,1132431,1132486,240.1796875,223,356,375
,128,,0,bcd3567eac625f10efcc9f9ef82d5474ecf2d25a10f80dcb22dd0ff6223827b1,1817717,aef83482db794cf91e03a5d18ed92455acae4071c90e07f7cca8d35c8b82c795,,0,951137,384,phase_w16_d0_r2_s1,complete,128,0,16,50b1fbcbffa2ddf0e999c7c029da8ee2ef0c71bf4950e4af651b6239e6ea07b5,2,144558.140625,135596,237478,271354,512,0,0,49047826,145234.34375,135762,237835,271737,676.203125,169,292,16905,0,1,6909b15c2d81680ef6dd3882077b3c7c61c6adc4cb9736b764766fafde8d60e1,experiments/17_system_boundaries/results/20260908-phase-final,phase,12750,27f9d92fae0243f009fee62a0f88bb37250a6a33365c16929dd2c99dd7fecdce,1,3d329db994a9faf5badaf1cbaaf2c0b739a63f5f13e7cb927b9247737d6c4aba,65536,1004721.59765625,905950,1811250,1811510,2048,16,1004961.77734375,906114,1811562,1811688,240.1796875,223,356,375
