name,suite,pages,entries,depth,tr,mshr,donor,full_span,replay_span,gap_pct,full_ingress_span,replay_ingress_span,full_p95,replay_p95,full_services,replay_services,requests,trace_sha256
read_p16_e1_q32_t850_m0,read,16,1,32,850,0,read_p16_e1_q32_t850_m1,2372,2372,0.0,1200,1200,1180,1186,64,64,64,50abc9719a96da9df5afcf05b406c7a1021ca7e10abf6e3a676167792b72da1c
read_p16_e1_q32_t850_m1,read,16,1,32,850,1,read_p16_e1_q32_t850_m0,2279,2292,0.5704256252742512,34,1200,2250,1136,16,17,64,14c691371aa31df8e80591d4328dd51a9d83bc3d88da662058bd6c8b5be6f749
read_p16_e1_q128_t850_m0,read,16,1,128,850,0,read_p16_e1_q128_t850_m1,2372,2372,0.0,34,34,2324,2324,64,64,64,8f67bc72aa36abac122d834b2a5a6ea6dfee149616f5c326ac50318994f7aa4e
read_p16_e1_q128_t850_m1,read,16,1,128,850,1,read_p16_e1_q128_t850_m0,2279,2279,0.0,34,34,2250,2250,16,16,64,eaceeaa8c4dd8e8e4fb28e7063081fc1129d6de12e363a05585c57a006f38efb
read_p16_e1_q4096_t850_m0,read,16,1,4096,850,0,read_p16_e1_q4096_t850_m1,2372,2372,0.0,34,34,2324,2324,64,64,64,8f67bc72aa36abac122d834b2a5a6ea6dfee149616f5c326ac50318994f7aa4e
read_p16_e1_q4096_t850_m1,read,16,1,4096,850,1,read_p16_e1_q4096_t850_m0,2279,2279,0.0,34,34,2250,2250,16,16,64,eaceeaa8c4dd8e8e4fb28e7063081fc1129d6de12e363a05585c57a006f38efb
read_p16_e32_q32_t850_m0,read,16,32,32,850,0,read_p16_e32_q32_t850_m1,14015,15684,11.908669282911166,13869,15538,1133,1133,2048,2048,2048,ffd615371e6d516d8df72e5ff6ec040a6354ce32a648beae51a06c8d4a6badd8
read_p16_e32_q32_t850_m1,read,16,32,32,850,1,read_p16_e32_q32_t850_m0,2405,13870,476.7151767151767,414,13869,2119,1056,16,974,2048,0202d79553ea29764a042af7ad81f8cbade895b2de6481c61db4d18d8c957c1b
read_p16_e32_q128_t850_m0,read,16,32,128,850,0,read_p16_e32_q128_t850_m1,8543,9891,15.779000351164708,7904,9320,1285,1285,2048,2048,2048,3d55fe1ee4c903bc3d8640772f2ae14627c10046edee79cb5189ee025617d22e
read_p16_e32_q128_t850_m1,read,16,32,128,850,1,read_p16_e32_q128_t850_m0,2405,7905,228.69022869022868,414,7904,2119,1121,16,628,2048,6bf700b9102e03c7fd75c963b1660bc2b6c5c368566e421ce0a23d96c98aad8d
read_p16_e32_q4096_t850_m0,read,16,32,4096,850,0,read_p16_e32_q4096_t850_m1,6210,6210,0.0,414,414,5195,5195,2048,2048,2048,9a4dbc5acdfca39eb766129f4832da3fc54c664b91d159af3f1c9c735c7e71c3
read_p16_e32_q4096_t850_m1,read,16,32,4096,850,1,read_p16_e32_q4096_t850_m0,2405,2405,0.0,414,414,2119,2119,16,16,2048,536945a75d99807d716c743447d9cecaac21db0a6c55f73922a0184cd9c06f6d
read_p16_e1_q32_t12750_m0,read,16,1,32,12750,0,read_p16_e1_q32_t12750_m1,34068,34068,0.0,17048,17048,17028,17034,64,64,64,ac6ddda38ae3eb5e5d3bc25eeae5dfc7645d1bb835cce5d80cbe08d68debeee8
read_p16_e1_q32_t12750_m1,read,16,1,32,12750,1,read_p16_e1_q32_t12750_m0,33975,33988,0.038263428991913706,34,17048,33946,16984,16,17,64,460efca7650620a27f533b97cf16f2257739a20365553ce300d645d0ca0a0730
read_p16_e1_q128_t12750_m0,read,16,1,128,12750,0,read_p16_e1_q128_t12750_m1,34068,34068,0.0,34,34,34020,34020,64,64,64,332b3e5d19520fd786c1c811d8c716de8ff3a06d89cc513fe1e246beb8d14517
read_p16_e1_q128_t12750_m1,read,16,1,128,12750,1,read_p16_e1_q128_t12750_m0,33975,33975,0.0,34,34,33946,33946,16,16,64,1613ea93f371c03867caa55689327352afdf894615adf56eb9928532a14b1a95
read_p16_e1_q4096_t12750_m0,read,16,1,4096,12750,0,read_p16_e1_q4096_t12750_m1,34068,34068,0.0,34,34,34020,34020,64,64,64,332b3e5d19520fd786c1c811d8c716de8ff3a06d89cc513fe1e246beb8d14517
read_p16_e1_q4096_t12750_m1,read,16,1,4096,12750,1,read_p16_e1_q4096_t12750_m0,33975,33975,0.0,34,34,33946,33946,16,16,64,1613ea93f371c03867caa55689327352afdf894615adf56eb9928532a14b1a95
read_p16_e32_q32_t12750_m0,read,16,32,32,12750,0,read_p16_e32_q32_t12750_m1,140799,142468,1.1853777370578022,140653,142322,16981,16981,2048,2048,2048,637664a5b3a49365c1b49ed30047882b233d18e206f4f7ae430492a9deb4f69c
read_p16_e32_q32_t12750_m1,read,16,32,32,12750,1,read_p16_e32_q32_t12750_m0,34101,140654,312.46297762528957,414,140653,33815,16904,16,974,2048,f4f8b2f8783f6eae81994e60c1de85b4310c54ac73f19306bcb67c7d86b035f4
read_p16_e32_q128_t12750_m0,read,16,32,128,12750,0,read_p16_e32_q128_t12750_m1,87703,89275,1.7924130303410335,86972,88703,17133,17133,2048,2048,2048,aff129ecba07067eb0abd45db0696dc8b310af605484ae8526c2590d72c749e7
read_p16_e32_q128_t12750_m1,read,16,32,128,12750,1,read_p16_e32_q128_t12750_m0,34101,86987,155.08636110377995,414,86972,33815,16969,16,788,2048,27f1f0f265165f183cd9ad316bdfb4a8bace5579b7ec7e6b21b05f550fd4bf35
read_p16_e32_q4096_t12750_m0,read,16,32,4096,12750,0,read_p16_e32_q4096_t12750_m1,37906,37906,0.0,414,414,36891,36891,2048,2048,2048,82ac84bfbcf4d28c35e5fc4c026b210426c3b206401d8c8854ed74861f87e218
